Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Andorra,0,77287,164,2020-11-09,5437.0,92183.0,6.4,,0.868,,,Europe,0.5,75.0,0.006,0.013794371896266323,3.0,3042000,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Argentina,1,45267449,17,2021-05-11,3191097.0,9361732.0,3.0,0.6,0.845,5.0,,South America,0.81,68311.0,0.233,0.02140674507857329,3.0,6942000,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,2,2964219,104,2021-04-17,207973.0,931583.0,5.6,1.8,0.776,4.2,94.043,Asia,0.62,3859.0,0.021,0.018555293235179567,4.0,1652000,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Austria,3,9015361,109,2021-05-09,631076.0,34504177.0,236.5,0.7,0.922,7.37,,Europe,0.57,10382.0,0.0,0.016451267359240407,3.0,30816000,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Bahrain,4,1711057,2239,2021-02-24,119858.0,3021611.0,6.6,,0.852,2.0,,Asia,0.57,437.0,0.031,0.0036459810776085034,1.0,12045000,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Belgium,5,11598451,383,2021-03-16,813026.0,10262428.0,10.0,0.2,0.931,5.64,,Europe,0.58,22572.0,0.012,0.02776294977036405,3.0,9119000,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Brazil,6,212821986,25,2021-05-05,14930183.0,31716527.0,,3.4,0.765,2.2,,South America,1.0,414399.0,,0.027755788391877045,2.0,6621000,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
Chile,7,19144605,26,2021-05-26,1344618.0,14458694.0,8.8,1.3,0.851,2.11,,South America,0.88,28624.0,0.085,0.021287830447011716,3.0,5723000,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,8,50976248,46,2021-06-06,3571067.0,17527352.0,2.9,4.5,0.767,1.71,65.386,South America,1.05,91961.0,0.321,0.025751687100802084,2.0,3904000,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Costa Rica,9,5102158,100,2021-06-23,357523.0,,,1.3,0.81,1.13,83.841,North America,,4567.0,,0.012774003350833374,2.0,3017000,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,10,4100719,73,2021-04-09,288364.0,1619663.0,3.8,0.7,0.851,5.54,,Europe,0.54,6235.0,0.018,0.02162197777808603,3.0,16645000,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Estonia,11,1326693,31,2021-03-20,94028.0,1089814.0,4.8,0.5,0.892,4.69,,Europe,0.61,780.0,0.01,0.00829540136980474,3.0,3234000,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
France,12,65298930,119,2021-03-28,4606185.0,,10.9,,0.901,5.98,,Europe,0.61,94754.0,0.009,0.020571036551940487,4.0,89322000,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
Georgia,13,3987805,57,2021-03-26,279446.0,3443000.0,15.0,4.2,0.812,2.6,,Asia,0.84,3738.0,0.02,0.013376466294024605,3.0,4757000,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Hungary,14,9655983,107,2021-04-03,679413.0,4275351.0,4.4,0.5,0.854,7.02,,Europe,0.53,21504.0,0.008,0.03165085154390628,3.0,17552000,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Israel,15,8678517,400,2021-01-26,609656.0,10859775.0,9.7,0.5,0.919,2.99,,Asia,0.45,4513.0,0.001,0.0074025352001784615,3.0,4121000,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,16,60446035,206,2021-06-06,4232428.0,67327507.0,75.6,2.0,0.892,3.18,,Europe,0.62,126523.0,0.005,0.02989371585293359,3.0,61567200,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
Jordan,17,10220604,115,2021-05-04,715703.0,6763398.0,12.2,0.1,0.729,1.4,,Asia,0.55,8955.0,0.013,0.012512173345647566,1.0,4150000,2020-03-04,30.585164,36.238414,2020-03-21,Full,9478.904588,6.84,97.9
Kuwait,18,4281320,240,2021-05-24,300455.0,2535029.0,7.5,,0.806,2.0,,Asia,1.06,1741.0,0.118,0.005794544940174069,1.0,8508000,2020-02-25,29.31166,47.481766,2020-03-16,Partial,72897.56235,6.19,96.2
Latvia,19,1882408,30,2021-05-26,131910.0,2565288.0,32.1,0.7,0.866,5.57,,Europe,0.69,2348.0,0.013,0.01780001516185278,3.0,1946000,2020-03-03,56.879635,24.603189,2020-03-13,Full,30304.8525,8.29,99.9
Lebanon,20,6819976,667,2021-04-04,479501.0,4069394.0,,,0.744,2.9,,Asia,0.67,6409.0,,0.013365978381692635,1.0,1964000,2020-02-22,33.854721,35.862285,2020-03-16,Full,13081.10746,6.74,93.9
Liechtenstein,21,38147,238,2021-04-01,2675.0,34038.0,19.6,,0.919,2.397,,Europe,0.25,56.0,0.006,0.020934579439252338,4.0,85300,2020-03-05,47.166,9.555373,,,,,
Lithuania,22,2715340,43,2021-02-13,190241.0,2027914.0,12.8,0.7,0.882,6.56,,Europe,0.46,3057.0,0.008,0.016069091310495633,,2825000,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,23,627704,242,2020-12-21,44582.0,1583233.0,25.5,0.2,0.916,4.51,,Europe,0.53,450.0,0.002,0.010093759813377597,3.0,1018000,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Maldives,24,542151,1802,2021-05-11,38520.0,785368.0,3.2,,0.74,,95.803,Asia,0.57,87.0,0.041,0.0022585669781931463,2.0,1484000,2020-03-09,3.202778,73.22068,2020-03-11,Full,15307.72194,,99.3
Montenegro,25,628080,47,2020-12-21,44284.0,,,1.0,0.829,3.861,,Europe,0.62,630.0,,0.014226357149309006,,2077000,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Netherlands,26,17141544,508,2021-03-19,1203622.0,7591793.0,8.5,,0.944,3.32,,Europe,0.59,16379.0,0.031,0.013608092906244651,3.0,18780000,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
North Macedonia,27,2083359,83,2021-04-16,145909.0,688265.0,3.9,5.0,0.774,4.28,,Europe,0.43,4388.0,0.003,0.03007353898662865,,707000,2020-02-27,41.6086,21.7453,2020-03-18,Full,16358.66205,7.34,
Panama,28,4326296,58,2021-01-20,303777.0,1560135.0,5.6,2.2,0.815,2.3,,North America,0.71,4912.0,0.036,0.016169756103984172,2.0,1785000,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
Poland,29,37839255,124,2021-04-16,2660088.0,13088717.0,4.6,,0.88,6.62,,Europe,0.44,61208.0,0.003,0.02300976509047821,3.0,19622000,2020-03-05,51.919438,19.145136,2020-03-12,Full,31336.6035,7.78,99.8
Portugal,30,10191409,111,2021-01-31,720516.0,7322065.0,4.9,0.5,0.864,3.39,,Europe,0.47,12482.0,0.007,0.017323695795790794,3.0,16186000,2020-03-03,39.399872,-8.224454,2020-03-18,Full,33415.4379,8.27,95.4
Qatar,31,2889284,248,2021-04-26,202904.0,1884662.0,6.8,,0.848,1.2,,Asia,0.6,437.0,0.028,0.0021537278713085993,1.0,1819300,2020-03-01,25.354826,51.183884,2020-03-11,Full,126898.4259,6.15,97.8
San Marino,32,33944,566,2020-12-30,2384.0,,,,,3.8,,Europe,0.05,59.0,,0.024748322147651006,3.0,84000,2020-02-28,43.94236,12.457777,2020-03-09,Full,63037.12578,,
Serbia,33,8731081,100,2021-04-03,614365.0,3471955.0,3.1,,0.806,5.609,97.719,Europe,0.58,5422.0,0.012,0.008825372539125765,,1711000,2020-03-07,44.016521,21.005859,2020-03-15,Full,17434.91613,7.3,98.1
Seychelles,34,98453,214,2021-05-10,8172.0,,,1.1,0.796,3.6,,Africa,1.12,28.0,,0.0034263338228095936,2.0,362000,2020-03-15,-4.679574,55.491977,2020-04-09,Full,30557.07572,7.16,95.2
Slovakia,35,5460109,114,2021-04-30,382211.0,34617006.0,200.0,0.7,0.86,5.82,,Europe,0.66,11684.0,0.002,0.030569502185965342,3.0,14000,2020-03-07,48.669026,19.699024,2020-03-09,Full,,,99.6
Slovenia,36,2078989,103,2021-01-15,147016.0,745097.0,4.0,,0.917,4.5,,Europe,0.56,3121.0,0.027,0.021228981879523316,3.0,4425000,2020-03-06,46.151241,14.995463,2020-03-11,Full,38048.78466,7.97,99.7
Spain,37,46757980,94,2021-03-30,3275819.0,37051805.0,13.2,1.0,0.904,2.97,,Europe,0.88,75305.0,0.039,0.022988144338866097,3.0,82773000,2020-02-02,40.463667,-3.74922,2020-03-14,Full,39715.43906,8.12,98.1
Sweden,38,10110233,25,2021-03-12,712527.0,,7.1,0.5,0.945,2.22,,Europe,0.44,13146.0,0.006,0.018449827164444293,3.0,7440000,2020-02-01,60.128161,18.643501,,,53208.88436,8.5,
Switzerland,39,8665615,219,2021-04-06,610274.0,5871070.0,11.6,,0.955,4.53,,Europe,0.53,10403.0,0.008,0.01704644143450319,3.0,10362000,2020-02-26,46.818188,8.227512,2020-03-18,Full,68060.94105,8.82,
United States,40,331341050,36,2021-01-14,23393833.0,281391255.0,7.9,1.2,0.926,2.77,,North America,0.71,396052.0,0.018,0.01692976093314849,3.0,79745920,2020-03-10,37.09024,-95.712891,2020-03-23,Partial,62794.58565,8.46,
Uruguay,41,3475842,20,2021-05-18,246026.0,2030566.0,4.3,0.1,0.817,2.8,,South America,0.8,3578.0,0.121,0.014543178363262419,3.0,3469000,2020-03-15,-32.522779,-55.765835,2020-03-16,Full,23572.17746,7.74,98.4
